名稱,功德值,日期
Kevin,1000000000000,2021-09-21
寧采臣,500000,2021-09-22
千江月,5000000,2021-09-22
燕赤霞,1064000,2021-09-22
寇仲,8400,2021-09-22
sai,-144000,2021-09-22
玩家,-265000,2021-09-22
挖咖摸都,66500,2021-09-22
張無忌,1056000,2021-09-22
強棒,-254000,2021-09-22
強棒,-25000,2021-09-22
lingabi,-53000,2021-09-22
lingabi,-45000,2021-09-22
阿扁,8990,2021-09-22
比你強,70000,2021-09-22
阿狗,-195000,2021-09-22
阿哩固,1571,2021-09-23
彭P,1068000,2021-09-23
給我BNT,1374000,2021-09-23
小嫩嫩,5300,2021-09-23
O.O,-81000,2021-09-23
O.O,-114000,2021-09-23
9527,6710,2021-09-23
O.O,-26000,2021-09-23
O.O,19000,2021-09-23
>...<,-79000,2021-09-23
123,-94000,2021-09-23
O.O,-25000,2021-09-23
O.O,-145000,2021-09-23
艾連,8570,2021-09-23
Test,28000,2021-09-23
Test,40000,2021-09-23
Test,-85000,2021-09-23
SuperI逗,4000,2021-09-23
SuperI逗,8670,2021-09-23
Test,3040,2021-09-23
天行健,917000,2021-09-24
GM,1344000,2021-09-24
GM,823000,2021-09-24
倫敦政經學院,1337000,2021-09-25
一番地,361000,2021-09-26
一番地,914000,2021-09-26
GM,730000,2021-09-26
GM,147000,2021-09-26
GM,233000,2021-09-27
充電期,121000,2021-09-28
充飽中,900000,2021-09-28
充飽中,731000,2021-09-28
充飽飽,1300000,2021-09-28
GM,109000,2021-09-28
HCSSJ,594000,2021-10-05
HCSSJ,1207000,2021-10-05
GM,408000,2021-10-05
GM,646000,2021-10-05